FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Chu Hoàng Việt,Male,DS,"Yêu màu hồng, ghét sự giả dối",ENFJ,"V-pop, Volleyball, Board games",Text message,,"Calculus, Linear Algebra, Artificial Intelligence","Café, Library",Early Morning
Nguyễn Hoài Anh,Male,ICT,oke hế lô và hi xin chào các bạn mình là justxoai rất vui đc lm quen các bạn,ENTP,"EDM, Board games, DIY, Movie, Netflix",Text message,Chit Chatting,"Calculus, Chemistry, Programming","Café, Home, Online",Midday
Nguyễn Hoằng Phát,Male,ICT,Thành tựu lớn nhất đời tôi: làm bạn Xoài 🥰,ESFP,"Football, Cooking, Food tour, Travel, Rap",In-person (face-to-face),Share knowledge,Programming,Home,Night
Nguyễn Hoàng Lân,Male,ICT,"Đẹp zai, học giỏi, giàu, ga lăng, tinh tế, hài hước.",ENTP,"K-pop, Ballet, Dancing, Singing, Makeup",Video call,Chit Chatting,"Programming, Artificial Intelligence","Café, Bookstore",Overnight
Đặng Trần Tiến,Male,Pharmacy,,,,,,,,
Trần Duy,Prefer not to say,ICT,,ENTJ,"Politics, Baseball, Board games, Badminton, Investment",In-person (face-to-face),Share knowledge,"Calculus, Chemistry, Programming, Artificial Intelligence, Electronic","Café, Home, Library, Online",Midday
Trần Tùng Anh,Male,ICT,,ENFJ,"V-pop, Board games",Text message,Chit Chatting,"Programming, Health Care","Café, Bookstore",Overnight
Đỗ Hương Giang,Female,CH,,ENTP,"V-pop, Cooking, Anime, Makeup, Movie",Video call,Chit Chatting,"Chemistry, Biology","Café, Library",Overnight
Nguyễn Tài Anh,Male,CS,Moonlight man1ac,INFJ,"K-pop, Coffee, Badminton, Netflix",Text message,Share knowledge,"Calculus, Physics, Programming, Biology, Electronic","Café, Home, Online",Midnight
Nguyễn Việt Anh,Male,ICT,,ENFJ,"EDM, Art, Football, Travel, Hiphop",Text message,Share knowledge,"Calculus, Physics, Programming, Health Care, Electronic","Café, Home, Online",Night
Đỗ Minh Quang,Male,ICT,Độc thân vui tính,ISTP,"Football, Swimming, Singing, Study, Gym",In-person (face-to-face),Study supporter,"Calculus, Linear Algebra, Programming, Artificial Intelligence",Home,Night
Nguyễn Minh Anh,Female,CH,Xai gính,ESTJ,"V-pop, K-pop, Swimming, Food tour, Travel",In-person (face-to-face),Chit Chatting,Health Care,Café,Midnight
Micheal Trương,Male,CS,,INTJ,"V-pop, Baseball, Football, Volleyball, Basketball",,Share knowledge,Physics,Home,Evening
Lee Rayeon,Female,MST,,ESTJ,"K-pop, Art, Yoga, Travel, Korean food",In-person (face-to-face),Share knowledge,Artificial Intelligence,Home,Night
Bùi Minh Đức,Male,ICT,,,"V-pop, K-pop, EDM, Board games, Anime",In-person (face-to-face),Study supporter,"Programming, Health Care","Café, Home, Library, Bookstore, Online",Evening
Nguyễn Quế Anh,Female,BIT,,ISTJ,"Cooking, Yoga, Study",Text message,Share knowledge,"Calculus, Chemistry, Biology, Health Care",Home,Evening
Nguyễn Hoàng Tuấn Anh,Male,ICT,,ESTJ,"Swimming, Gym, Rap, Netflix, Esport",In-person (face-to-face),Study supporter,"Calculus, Physics, Programming, Practical laboratory","Café, Online",Midnight
VHV,Female,ICT,,ENFP,"Art, DIY, Tea, Ice cream",Text message,Study supporter,,"Café, Library",Night
Nguyễn Thị Minh Châu,Female,CH,"Mình rất thích đọc sách, đặc biệt là tiểu thuyết lãng mạn. Những câu chuyện đó giúp mình thư giãn và mơ mộng giữa cuộc sống bận rộn.",ESTJ,"Art, Swimming, Painting, Netflix",Text message,Share knowledge,"Chemistry, Biology, Health Care",Library,Midnight
Phạm Hoàng Nam,Male,MAT,Tớ thích nghe nhạc và thường nghe khi cảm thấy căng thẳng. Những bản nhạc du dương giúp tớ thư giãn và tái tạo năng lượng,INFJ,"Singing, Study",In-person (face-to-face),Study supporter,"Calculus, Linear Algebra, Physics","Café, Library, Bookstore",Evening
Nguyễn Ngọc Đông Trúc,Female,FST,,ESTP,"Volleyball, Cooking, Food tour, Korean food",Video call,,"Chemistry, Biology, Environment","Library, Online",Midday
Hà Châu Anh,Female,MST,"Mình thích vẽ tranh và thiết kế. Nghệ thuật là cách mình thể hiện bản thân và gửi gắm những suy nghĩ, cảm xúc của mình",ISFP,"Art, Painting, Makeup",Phone call,Chit Chatting,"Chemistry, Practical laboratory, Health Care",Café,Midday
Vũ Minh Tuấn,Male,AMS,,ESFP,"Football, DIY, Gym, Rap, Esport",In-person (face-to-face),Study supporter,"Calculus, Linear Algebra, Physics, Programming, Artificial Intelligence","Café, Library",Evening
Nguyễn Minh Hằng,Female,DS,,INFP,"V-pop, DIY, Dancing, Study, Makeup",Video call,Chit Chatting,"Calculus, Linear Algebra, Programming, Artificial Intelligence","Library, Bookstore",Overnight
Vũ Hà Anh,Female,BIT,Sinh Gái,ENFP,"V-pop, K-pop, EDM, Art, Vlogging",Video call,Chit Chatting,Programming,Café,Evening
Cristiano Ronaldo,Male,EER,,INTJ,"Vlogging, Baseball, Football",,Study supporter,Health Care,Bookstore,Midday
Nguyễn Quỳnh Anh,Female,FST,,ESTJ,"V-pop, K-pop, DIY",In-person (face-to-face),Study supporter,Health Care,Café,Evening
Phạm Vân Hà,Female,BIT,Girl xinh gái tìm boy cũng thế,ESTJ,"Art, DIY, Cooking, Painting, Dancing",In-person (face-to-face),Chit Chatting,Biology,Café,Overnight
Vũ Thế Khôi Nguyên,Male,ICT,Mình thích vẽ tranh và thiết kế,INTJ,"V-pop, K-pop, EDM, Art, Badminton",Phone call,Study supporter,"Calculus, Linear Algebra, Programming, Artificial Intelligence",Home,Evening
Vũ Kiều Anh,Female,Pharmacy,Mình thích makeup và làm đẹp,ESFJ,"Swimming, Yoga, Travel, Study, Gym",Text message,Study supporter,,"Library, Online",Night
